lme,spatialstrat,temporalstrat,year,age,psc_n,samples_n,reporting_group,sector,mean,sd,lower,median,upper,shrink,notes
Bering Sea,Cluster 3 (ADFG 705600),Wk 32-34,2015,NA,,118,NE Asia,NA,0.189,0.047,0.104,0.187,0.288,1.00,
GOA,all,all,2016,NA,3518,473,E GOA/PNW,NA,0.929,0.015,0.898,0.930,0.955,1.00,
Bering Sea,all,A season,2016,NA,3726,114,NE Asia,NA,0.372,0.061,0.257,0.372,0.496,1.00,
Bering Sea,all,B season,2016,NA,339094,2701,NE Asia,NA,0.305,0.011,0.282,0.304,0.327,1.00,
Bering Sea,all,early,2016,NA,56835,453,NE Asia,NA,0.237,0.025,0.189,0.236,0.287,1.00,
Bering Sea,all,middle,2016,NA,166973,1333,NE Asia,NA,0.305,0.016,0.274,0.305,0.337,1.00,
Bering Sea,all,late,2016,NA,115286,915,NE Asia,NA,0.322,0.020,0.283,0.322,0.362,1.01,
Bering Sea,NMFS 517,all,2015,NA,263180,2126,NE Asia,NA,0.306,0.013,0.281,0.306,0.332,1.00,
Bering Sea,NMFS 517,early,2015,NA,32564,262,NE Asia,NA,0.231,0.034,0.167,0.230,0.300,1.00,
Bering Sea,NMFS 517,middle,2016,NA,124946,1024,NE Asia,NA,0.307,0.018,0.271,0.307,0.344,1.00,
Bering Sea,NMFS 517,late,2016,NA,105670,840,NE Asia,NA,0.313,0.021,0.272,0.313,0.355,1.01,
Bering Sea,NMFS 521,all,2016,NA,44785,329,NE Asia,NA,0.347,0.032,0.286,0.346,0.411,1.00,
Bering Sea,NMFS 521,early,2016,NA,12955,102,NE Asia,NA,0.303,0.052,0.206,0.302,0.408,1.00,
Bering Sea,NMFS 521,middle,2016,NA,31449,225,NE Asia,NA,0.379,0.039,0.302,0.379,0.457,1.01,
Bering Sea,Eastern,all,2016,NA,289278,2332,NE Asia,NA,0.301,0.012,0.277,0.301,0.325,1.00,"NMFS 509, 513, 516, 517, 519"
Bering Sea,Western,all,2016,NA,49816,369,E GOA/PNW,NA,0.314,0.027,0.262,0.313,0.369,1.00,"NMFS 521, 523, 524"
Bering Sea,Cluster 1,early,2016,NA,111336,1043,NE Asia,NA,0.230,0.017,0.198,0.230,0.263,1.01,
Bering Sea,Cluster 1,late,2016,NA,88941,681,NE Asia,NA,0.320,0.023,0.275,0.320,0.367,1.00,
Bering Sea,Cluster 2,early,2016,NA,13045,185,SE Asia,NA,0.172,0.030,0.118,0.171,0.232,1.00,
Bering Sea,Cluster 2,late,2015,NA,8701,195,Up/Mid Yukon,NA,0.024,0.013,0.003,0.023,0.053,1.00,
Bering Sea,Cluster 3,early,2016,NA,29591,320,NE Asia,NA,0.286,0.031,0.227,0.286,0.348,1.00,
Bering Sea,Cluster 3,late,2016,NA,15170,178,NE Asia,NA,0.340,0.043,0.258,0.339,0.427,1.00,
Bering Sea,Cluster 4,late,2016,NA,6931,184,NE Asia,NA,0.308,0.045,0.223,0.307,0.399,1.00,
GOA,all,all,2015,NA,1823,131,NE Asia,NA,0.050,0.029,0.003,0.047,0.115,1.00,
